Entity,Year,Total number of international immigrants
Bosnia and Herzegovina,2005,47287
Bosnia and Herzegovina,2010,38945
Bosnia and Herzegovina,2015,38597
Bosnia and Herzegovina,2020,36042
Bosnia and Herzegovina,2024,34120
Botswana,1990,27510
Botswana,1995,40168
Botswana,2000,74934
Botswana,2005,84661
Botswana,2010,94863
Botswana,2015,103053
Botswana,2020,110268
Botswana,2024,116402
Brazil,1990,803218
Brazil,1995,732622
Brazil,2000,687362
Brazil,2005,641029
Brazil,2010,596859
Brazil,2015,646540
Brazil,2020,1048866
Brazil,2024,1406299
British Virgin Islands,1990,8035
British Virgin Islands,1995,10046
British Virgin Islands,2000,12958
British Virgin Islands,2005,15016
British Virgin Islands,2010,17076
British Virgin Islands,2015,19535
British Virgin Islands,2020,22164
British Virgin Islands,2024,24520
Brunei,1990,73200
Brunei,1995,84748
Brunei,2000,96296
Brunei,2005,98441
Brunei,2010,100587
Brunei,2015,102733
Brunei,2020,111959
Brunei,2024,119933
Bulgaria,1990,21510
Bulgaria,1995,32435
Bulgaria,2000,43360
Bulgaria,2005,61074
Bulgaria,2010,76287
Bulgaria,2015,123803
Bulgaria,2020,184363
Bulgaria,2024,299100
Burkina Faso,1990,349652
Burkina Faso,1995,464104
Burkina Faso,2000,520363
Burkina Faso,2005,597658
Burkina Faso,2010,674438
Burkina Faso,2015,704676
Burkina Faso,2020,723989
Burkina Faso,2024,739820
Burundi,1990,333110
Burundi,1995,254853
Burundi,2000,125628
Burundi,2005,192774
Burundi,2010,247321
Burundi,2015,298299
Burundi,2020,344767
Burundi,2024,387101
Cambodia,1990,38375
Cambodia,1995,92230
Cambodia,2000,146085
Cambodia,2005,114096
Cambodia,2010,82028
Cambodia,2015,73962
Cambodia,2020,79341
Cambodia,2024,83925
Cameroon,1990,265967
Cameroon,1995,244791
Cameroon,2000,227242
Cameroon,2005,265503
Cameroon,2010,291474
Cameroon,2015,508346
Cameroon,2020,579209
Cameroon,2024,642948
Canada,1990,4251056
Canada,1995,4853738
Canada,2000,5525404
Canada,2005,6086976
Canada,2010,7035001
Canada,2015,8049874
Canada,2020,8332892
Canada,2024,8805839
Cape Verde,1990,8931
Cape Verde,1995,9979
Cape Verde,2000,11027
Cape Verde,2005,12700
Cape Verde,2010,14373
Cape Verde,2015,14924
Cape Verde,2020,15788
Cape Verde,2024,16515
Cayman Islands,1990,9315
Cayman Islands,1995,12666
Cayman Islands,2000,19176
Cayman Islands,2005,20679
Cayman Islands,2010,24062
Cayman Islands,2015,26193
Cayman Islands,2020,29242
Cayman Islands,2024,31935
Central African Republic,1990,67234
Central African Republic,1995,99712
Central African Republic,2000,123529
Central African Republic,2005,96409
Central African Republic,2010,94685
Central African Republic,2015,81568
Central African Republic,2020,88546
Central African Republic,2024,94556
Central America (UN),1990,1835750
Central America (UN),1995,1298418
Central America (UN),2000,1095698
Central America (UN),2005,1367196
Central America (UN),2010,1738911
Central America (UN),2015,1935255
Central America (UN),2020,2439531
Central America (UN),2024,3120680
Central Asia (UN),1990,6300541
Central Asia (UN),1995,4912782
Central Asia (UN),2000,4048262
Central Asia (UN),2005,3978487
Central Asia (UN),2010,3786871
Central Asia (UN),2015,3766652
Central Asia (UN),2020,3822237
Central Asia (UN),2024,3910116
Central and Southern Asia (UN),1990,25456471
Central and Southern Asia (UN),1995,20140424
Central and Southern Asia (UN),2000,18979217
Central and Southern Asia (UN),2005,17615413
Central and Southern Asia (UN),2010,18225935
Central and Southern Asia (UN),2015,17681574
Central and Southern Asia (UN),2020,17736883
Central and Southern Asia (UN),2024,20369652
Chad,1990,74342
Chad,1995,89584
Chad,2000,104825
Chad,2005,352130
Chad,2010,417034
Chad,2015,466968
Chad,2020,547494
Chad,2024,1269673
Channel Islands,1990,61660
Channel Islands,1995,60519
Channel Islands,2000,64301
Channel Islands,2005,70941
Channel Islands,2010,77581
Channel Islands,2015,82307
Channel Islands,2020,84087
Channel Islands,2024,85539
Chile,1990,100133
Chile,1995,125754
Chile,2000,166608
Chile,2005,241522
Chile,2010,361531
Chile,2015,598039
Chile,2020,1476240
Chile,2024,1538324
China,1990,518395
China,1995,610608
China,2000,720915
China,2005,853360
China,2010,1010008
China,2015,1196007
China,2020,1415116
China,2024,1638718
Colombia,1990,100672
Colombia,1995,109550
Colombia,2000,109863
Colombia,2005,110495
Colombia,2010,126424
Colombia,2015,145504
Colombia,2020,1932807
Colombia,2024,3063518
Comoros,1990,14079
Comoros,1995,13939
Comoros,2000,13799
Comoros,2005,13209
Comoros,2010,12618
Comoros,2015,12555
Comoros,2020,12496
Comoros,2024,12449
Congo,1990,129391
Congo,1995,191635
Congo,2000,305880
Congo,2005,318724
Congo,2010,425173
Congo,2015,390142
Congo,2020,387606
Congo,2024,385589
Cook Islands,1990,2587
Cook Islands,1995,2686
Cook Islands,2000,2785
Cook Islands,2005,3277
Cook Islands,2010,3769
Cook Islands,2015,4168
Cook Islands,2020,4579
Cook Islands,2024,4937
Costa Rica,1990,417628
Costa Rica,1995,364287
Costa Rica,2000,310946
Costa Rica,2005,358398
Costa Rica,2010,405779
Costa Rica,2015,411697
Costa Rica,2020,520729
Costa Rica,2024,628404
Cote d'Ivoire,1990,1822374
Cote d'Ivoire,1995,1992981
Cote d'Ivoire,2000,2157339
Cote d'Ivoire,2005,2308068
Cote d'Ivoire,2010,2458796
Cote d'Ivoire,2015,2609525
Cote d'Ivoire,2020,2760255
Cote d'Ivoire,2024,2880839
Croatia,1990,475438
Croatia,1995,674085
Croatia,2000,585298
Croatia,2005,579273
Croatia,2010,573248
Croatia,2015,561093
Croatia,2020,528056
Croatia,2024,527831
Cuba,1990,34555
Cuba,1995,26187
Cuba,2000,18545
Cuba,2005,11693
Cuba,2010,7373
Cuba,2015,4649
Cuba,2020,3024
Cuba,2024,2144
Curacao,1990,43150
Curacao,1995,43150
Curacao,2000,43150
Curacao,2005,43150
Curacao,2010,34630
Curacao,2015,37611
Curacao,2020,57210
Curacao,2024,80020
Cyprus,1990,43805
Cyprus,1995,61941
Cyprus,2000,80076
Cyprus,2005,122849
Cyprus,2010,188472
Cyprus,2015,176693
Cyprus,2020,190366
Cyprus,2024,202062
Czechia,1990,442428
Czechia,1995,531039
Czechia,2000,639018
Czechia,2005,670689
Czechia,2010,692197
Czechia,2015,688047
Czechia,2020,680221
Czechia,2024,1025199
Democratic Republic of Congo,1990,754194
Democratic Republic of Congo,1995,1816963
Democratic Republic of Congo,2000,744387
Democratic Republic of Congo,2005,623009
Democratic Republic of Congo,2010,589882
Democratic Republic of Congo,2015,810018
Democratic Republic of Congo,2020,952871
Democratic Republic of Congo,2024,1085090
Denmark,1990,235918
Denmark,1995,298278
Denmark,2000,372128
Denmark,2005,423167
Denmark,2010,509751
Denmark,2015,616741
Denmark,2020,718856
Denmark,2024,847475
Djibouti,1990,122221
Djibouti,1995,99774
Djibouti,2000,100507
Djibouti,2005,92110
Djibouti,2010,102307
Djibouti,2015,112351
Djibouti,2020,119738
Djibouti,2024,125996
Dominica,1990,2519
Dominica,1995,3121
Dominica,2000,3723
Dominica,2005,4744
Dominica,2010,8110
Dominica,2015,8093
Dominica,2020,8284
Dominica,2024,8440
Dominican Republic,1990,291151
Dominican Republic,1995,323381
Dominican Republic,2000,355611
Dominican Republic,2005,375417
Dominican Republic,2010,395479
Dominican Republic,2015,549289
Dominican Republic,2020,603794
Dominican Republic,2024,738667
East Timor,1990,8954
East Timor,1995,9743
East Timor,2000,10602
East Timor,2005,11286
East Timor,2010,11540
East Timor,2015,8520
East Timor,2020,8399
East Timor,2024,8303
Eastern Africa (UN),1990,6347780
Eastern Africa (UN),1995,5361041
Eastern Africa (UN),2000,5239557
Eastern Africa (UN),2005,5141624
Eastern Africa (UN),2010,4424112
Eastern Africa (UN),2015,6304660
Eastern Africa (UN),2020,7528179
Eastern Africa (UN),2024,8302733
Eastern Asia (UN),1990,4118088
Eastern Asia (UN),1995,4952397
Eastern Asia (UN),2000,5921878
Eastern Asia (UN),2005,6662116
Eastern Asia (UN),2010,7484060
Eastern Asia (UN),2015,9237513
Eastern Asia (UN),2020,10919614
Eastern Asia (UN),2024,11559387
Eastern Europe (UN),1990,22316123
Eastern Europe (UN),1995,21705675
Eastern Europe (UN),2000,20853646
Eastern Europe (UN),2005,20092493
Eastern Europe (UN),2010,19389898
Eastern Europe (UN),2015,17559211
Eastern Europe (UN),2020,16162524
Eastern Europe (UN),2024,18646093
Eastern and South-Eastern Asia (UN),1990,6755128
Eastern and South-Eastern Asia (UN),1995,8203094
Eastern and South-Eastern Asia (UN),2000,10530525
Eastern and South-Eastern Asia (UN),2005,12702261
Eastern and South-Eastern Asia (UN),2010,16051107
Eastern and South-Eastern Asia (UN),2015,18869062
Eastern and South-Eastern Asia (UN),2020,21161853
